Provinsi,2018KS,2018HP,2018LD,2019KS,2019HP,2019LD,2020KS,2020HP,2020LD
ACEH,96.79,68.09,77.67,93.28,65.22,79.08,84.49,64.94,74.91
SUMATERA UTARA,76.54,62.61,51.69,72.54,61.59,71.12,77.33,60.27,57.52
SUMATERA BARAT,55.32,62.84,88.52,56.58,61.06,92.21,66.59,66.80,90.91
RIAU,86.88,62.77,89.47,85.15,61.68,84.19,86.08,65.40,83.46
JAMBI,72.88,62.76,72.92,76.67,64.63,69.21,82.71,62.98,86.45
SUMATERA SELATAN,83.13,73.12,76.01,80.54,81.95,72.23,80.32,71.39,73.25
BENGKULU,78.77,62.18,74.13,93.98,73.17,68.63,87.61,59.64,72.76
LAMPUNG,77.29,59.53,72.35,78.46,63.70,79.22,68.55,71.64,79.95
KEP. BANGKA BELITUNG,80.95,73.56,63.76,84.12,71.71,75.48,79.12,66.20,92.97
KEP. RIAU,91.05,77.54,66.90,92.66,78.30,73.10,92.66,68.67,69.47
DKI JAKARTA,95.09,75.43,87.82,91.01,83.86,91.89,93.27,84.95,90.86
JAWA BARAT,74.90,64.78,54.80,65.16,71.15,70.75,69.57,71.64,73.01
JAWA TENGAH,76.21,66.92,75.42,78.43,67.91,90.50,73.68,75.46,77.60
DI YOGYAKARTA,90.60,75.07,77.66,92.90,72.51,78.25,96.46,70.54,80.43
JAWA TIMUR,77.21,67.45,75.97,72.14,80.25,80.55,80.51,56.43,81.09
BANTEN,86.59,60.11,79.40,83.83,60.29,78.01,87.42,66.18,76.55
BALI,94.72,68.08,89.55,90.60,68.38,90.42,96.86,69.07,66.90
NUSA TENGGARA BARAT,78.28,62.08,86.11,78.36,66.14,91.16,78.38,62.88,87.21
NUSA TENGGARA TIMUR,94.00,71.85,84.28,93.97,78.58,68.62,90.59,75.61,63.23
KALIMANTAN BARAT,93.87,64.01,73.08,92.59,71.45,68.74,96.84,70.78,77.65
KALIMANTAN TENGAH,90.09,50.46,80.65,86.31,78.24,79.32,92.60,64.98,68.44
KALIMANTAN SELATAN,69.26,83.03,88.37,68.01,86.52,82.67,69.59,83.53,64.59
KALIMANTAN TIMUR,90.99,61.38,72.22,88.50,66.27,82.17,96.13,74.56,76.01
KALIMANTAN UTARA,97.36,75.80,68.95,96.60,74.92,80.46,92.08,65.99,80.28
SULAWESI UTARA,88.90,69.53,76.86,95.19,63.54,75.82,93.18,74.83,67.80
SULAWESI TENGAH,91.90,54.94,86.72,96.19,53.21,91.68,97.93,54.46,82.04
SULAWESI SELATAN,72.44,64.05,79.75,68.32,65.61,81.34,68.40,64.99,70.77
SULAWESI TENGGARA,79.77,67.59,78.16,80.31,52.18,66.90,84.61,53.61,68.92
GORONTALO,79.33,64.95,76.26,75.17,76.93,76.70,86.42,75.89,90.81
SULAWESI BARAT,87.41,55.05,77.45,81.58,70.22,83.60,86.38,61.09,75.45
MALUKU,81.38,72.86,72.32,87.06,55.62,64.55,85.10,66.92,68.29
MALUKU UTARA,78.94,62.39,78.92,85.61,64.86,58.11,84.35,64.88,66.56
PAPUA BARAT,82.11,40.11,57.21,70.35,50.31,53.23,86.33,47.78,53.09
PAPUA,84.36,47.90,57.05,93.08,51.16,52.61,89.32,51.83,53.54
INDONESIA,78.46,65.79,75.25,77.20,70.71,78.73,79.40,67.85,75.66
